id,メーカー,車種,自動車タイプ,ボディタイプ,駆動方式,価格帯(万円),排気量(cc),最新モデル,グレード・モデル,先進安全装備,燃費(km/L)電費(Wh/km)水素燃費(km/kg),燃料の種類,自動車税(円),乗車定員,中古相場(万円),サイズ(mm)
1,TOYOYA,アルファード,普通車,ミニバン,4WD,5100000~10650000,2487,2025_01,Executive Lounge (PHEV),Toyota Safety Sense,16.7,レギュラー (PHEV),43500,6,445~1450,4995×1850×1945
2,TOYOYA,アルファード,普通車,ミニバン,2WD,5100000~10650000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,18.9,レギュラー (HEV),43500,7,445~1450,4995×1850×1935
3,TOYOYA,アルファード,普通車,ミニバン,4WD,5100000~10650000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,17.7,レギュラー (HEV),43500,7,445~1450,4995×1850×1935
4,TOYOYA,アルファード,普通車,ミニバン,2WD,5100000~10650000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,18.9,レギュラー (HEV),43500,8,445~1450,4995×1850×1935
5,TOYOYA,アルファード,普通車,ミニバン,4WD,5100000~10650000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,17.7,レギュラー (HEV),43500,8,445~1450,4995×1850×1935
6,TOYOYA,アルファード,普通車,ミニバン,2WD,5100000~10650000,2487,2025_01,Z (HEV),Toyota Safety Sense,18.9,レギュラー (HEV),43500,7,445~1450,4995×1850×1935
7,TOYOYA,アルファード,普通車,ミニバン,4WD,5100000~10650000,2487,2025_01,Z (HEV),Toyota Safety Sense,17.7,レギュラー (HEV),43500,7,445~1450,4995×1850×1935
8,TOYOYA,アルファード,普通車,ミニバン,2WD,5100000~10650000,2487,2025_01,X (HEV),Toyota Safety Sense,18.9,レギュラー (HEV),43500,8,445~1450,4995×1850×1935
9,TOYOYA,アルファード,普通車,ミニバン,4WD,5100000~10650000,2487,2025_01,X (HEV),Toyota Safety Sense,17.7,レギュラー (HEV),43500,8,445~1450,4995×1850×1935
10,TOYOYA,アルファード,普通車,ミニバン,2WD,5100000~10650000,2493,2025_01,Z (ガソリン),Toyota Safety Sense,10.6,レギュラー,43500,7,445~1450,4995×1850×1935
11,TOYOYA,アルファード,普通車,ミニバン,4WD,5100000~10650000,2493,2025_01,Z (ガソリン),Toyota Safety Sense,10.3,レギュラー,43500,7,445~1450,4995×1850×1935
12,TOYOYA,ヴェルファイア,普通車,ミニバン,4WD,6700000~10850000,2487,2025_01,Executive Lounge (PHEV),Toyota Safety Sense,16.7,レギュラー (PHEV),43500,6,628~1208,4995×1850×1945
13,TOYOYA,ヴェルファイア,普通車,ミニバン,2WD,6700000~10850000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,18.9,レギュラー (HEV),43500,7,628~1208,4995×1850×1935
14,TOYOYA,ヴェルファイア,普通車,ミニバン,4WD,6700000~10850000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,17.7,レギュラー (HEV),43500,7,628~1208,4995×1850×1935
15,TOYOYA,ヴェルファイア,普通車,ミニバン,2WD,6700000~10850000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,18.9,レギュラー (HEV),43500,8,628~1208,4995×1850×1935
16,TOYOYA,ヴェルファイア,普通車,ミニバン,4WD,6700000~10850000,2487,2025_01,Executive Lounge (HEV),Toyota Safety Sense,17.7,レギュラー (HEV),43500,8,628~1208,4995×1850×1935
17,TOYOYA,ヴェルファイア,普通車,ミニバン,2WD,6700000~10850000,2487,2025_01,Z Premier(HEV),Toyota Safety Sense,18.9,レギュラー (HEV),43500,7,628~1208,4995×1850×1935
18,TOYOYA,ヴェルファイア,普通車,ミニバン,4WD,6700000~10850000,2487,2025_01,Z Premier(HEV),Toyota Safety Sense,17.7,レギュラー (HEV),43500,7,628~1208,4995×1850×1935
19,TOYOYA,ヴェルファイア,普通車,ミニバン,2WD,6700000~10850000,2493,2025_01,Z Premier(ガソリン),Toyota Safety Sense,10.6,レギュラー,43500,7,628~1208,4995×1850×1935
20,TOYOYA,ヴェルファイア,普通車,ミニバン,4WD,6700000~10850000,2493,2025_01,Z Premier(ガソリン),Toyota Safety Sense,10.3,レギュラー,43500,7,628~1208,4995×1850×1935
21,TOYOYA,アクア,普通車,ハッチバック,2WD,2432100~3022800,1490,2025_09,Z,Toyota Safety Sense,33.6,レギュラー (HEV),30500,5,104~330,4080×1695×1485
22,TOYOYA,アクア,普通車,ハッチバック,4WD,2432100~3022800,1490,2025_09,Z,Toyota Safety Sense,30,レギュラー (HEV),30500,5,104~330,4080×1695×1505
23,TOYOYA,アクア,普通車,ハッチバック,2WD,2432100~3022800,1490,2025_09,G,Toyota Safety Sense,33.6,レギュラー (HEV),30500,5,104~330,4080×1695×1485
24,TOYOYA,アクア,普通車,ハッチバック,4WD,2432100~3022800,1490,2025_09,G,Toyota Safety Sense,30,レギュラー (HEV),30500,5,104~330,4080×1695×1505
25,TOYOYA,アクア,普通車,ハッチバック,2WD,2432100~3022800,1490,2025_09,X,Toyota Safety Sense,34.3,レギュラー (HEV),30500,5,104~330,4080×1695×1485
26,TOYOYA,アクア,普通車,ハッチバック,4WD,2432100~3022800,1490,2025_09,X,Toyota Safety Sense,30,レギュラー (HEV),30500,5,104~330,4080×1695×1505
27,TOYOYA,bZ4X,普通車,SUV,2WD,4800000~6000000,-,2023_10,Z,Toyota Safety Sense,113,電気 (BEV),25000,5,358~474,4690×1860×1650
28,TOYOYA,bZ4X,普通車,SUV,4WD,4800000~6000000,-,2023_10,Z,Toyota Safety Sense,121,電気 (BEV),25000,5,358~474,4690×1860×1650
29,TOYOYA,bZ4X,普通車,SUV,2WD,4800000~6000000,-,2023_10,G,Toyota Safety Sense,111,電気 (BEV),25000,5,358~474,4690×1860×1650
30,TOYOYA,センチュリー,普通車,SUV,4WD,20080000~20079999,3456,2023_12,ベースグレード,Toyota Safety Sense,14.2,ハイオク (PHEV),57000,4,7000~8000,5205×1990×1805
31,TOYOYA,センチュリー,普通車,セダン,4WD,2700000~2700000,4968,2018_06,ベースグレード,Toyota Safety Sense,12.4,ハイオク (HEV),87000,5,978~1650],5335×1930×1505
32,TOYOYA,コペン,軽自動車,オープンカー,2WD,2501400~2556400,658,2019_10,GR SPORT,NO,19.2,レギュラー,10800,2,62~299,3395×1475×1280
33,TOYOYA,コペン,軽自動車,オープンカー,2WD(MT),2501400~2556400,658,2019_10,GR SPORT,NO,18.6,レギュラー,10800,2,62~299,3395×1475×1280
34,TOYOYA,カローラ,普通車,セダン,2WD,2279200~3366000,1797,2025_05,W×B,Toyota Safety Sense,27.9,レギュラー (HEV),36000,5,116~338,4495×1745×1435
35,TOYOYA,カローラ,普通車,セダン,2WD,2279200~3366000,1797,2025_05,G,Toyota Safety Sense,30.2,レギュラー (HEV),36000,5,116~338,4495×1745×1435
36,TOYOYA,カローラ,普通車,セダン,2WD,2279200~3366000,1797,2025_05,X,Toyota Safety Sense,30.2,レギュラー (HEV),36000,5,116~338,4495×1745×1435
37,TOYOYA,カローラ,普通車,セダン,4WD,2279200~3366000,1797,2025_05,W×B,Toyota Safety Sense,25.3,レギュラー (HEV),36000,5,116~338,4495×1745×1435
38,TOYOYA,カローラ,普通車,セダン,4WD,2279200~3366000,1797,2025_05,G,Toyota Safety Sense,28.1,レギュラー (HEV),36000,5,116~338,4495×1745×1435
39,TOYOYA,カローラ,普通車,セダン,4WD,2279200~3366000,1797,2025_05,X,Toyota Safety Sense,28.1,レギュラー (HEV),36000,5,116~338,4495×1745×1435
40,TOYOYA,カローラクロス,普通車,SUV,4WD,2760000~3895000,1986,2025_05,GR SPORT,Toyota Safety Sense,23.3,レギュラー (HEV),36000,5,198~528,4460×1825×1600
41,TOYOYA,カローラクロス,普通車,SUV,4WD,2760000~3895000,1986,2025_05,Z (2.0L HEV),Toyota Safety Sense,23.3,レギュラー (HEV),36000,5,198~528,4460×1825×1600
42,TOYOYA,カローラクロス,普通車,SUV,2WD,2760000~3895000,1797,2025_05,Z (1.8L HEV),Toyota Safety Sense,26.4,レギュラー (HEV),36000,5,198~528,4455×1825×1620
43,TOYOYA,カローラクロス,普通車,SUV,4WD,2760000~3895000,1797,2025_05,Z (1.8L HEV),Toyota Safety Sense,24.6,レギュラー (HEV),36000,5,198~528,4455×1825×1620
44,TOYOYA,カローラクロス,普通車,SUV,2WD,2760000~3895000,1797,2025_05,S,Toyota Safety Sense,26.4,レギュラー (HEV),36000,5,198~528,4455×1825×1620
45,TOYOYA,カローラクロス,普通車,SUV,4WD,2760000~3895000,1797,2025_05,S,Toyota Safety Sense,24.6,レギュラー (HEV),36000,5,198~528,4455×1825×1620
46,TOYOYA,カローラクロス,普通車,SUV,2WD,2760000~3895000,1797,2025_05,G,Toyota Safety Sense,26.4,レギュラー (HEV),36000,5,198~528,4455×1825×1620
47,TOYOYA,カローラクロス,普通車,SUV,4WD,2760000~3895000,1797,2025_05,G,Toyota Safety Sense,24.6,レギュラー (HEV),36000,5,198~528,4455×1825×1620
48,TOYOYA,カローラスポーツ,普通車,ハッチバック,2WD,2481600~3170200,1797,2025_05,Z,Toyota Safety Sense,27.2,レギュラー (HEV),36000,5,108~349,4375×1790×1460
