id,メーカー,車種,ボディタイプ,駆動方式,価格(万円),排気量,年式,モデル,安全評価,燃費(km/L),燃料の種類,自動車税(円),乗車定員,中古相場(万円),サイズ(mm)
1,トヨタ,アクア,ハッチバック,2WD,220,1500,2024,G,5,35.8,ハイブリッド,34500,5,140~180,4050×1695×1485
2,ホンダ,フリード,ミニバン,2WD,280,1500,2024,HYBRID G,5,28.0,ハイブリッド,34500,6,190~240,4265×1695×1710
3,日産,リーフ,ハッチバック,2WD,408,0,2024,X,5,100.0,EV,29500,5,200~300,4480×1790×1565
4,スバル,レヴォーグ,ワゴン,4WD,370,1800,2024,STI Sport,5,16.6,ガソリン,39500,5,250~350,4755×1795×1500
5,マツダ,MAZDA3,ハッチバック,2WD,290,2000,2024,X PROACTIVE,5,19.8,ガソリン,39500,5,180~260,4460×1795×1440
6,ダイハツ,ロッキー,SUV,2WD,190,1000,2024,G,4,20.7,ガソリン,29500,5,120~170,3995×1695×1620
7,スズキ,ハスラー,軽自動車,4WD,168,660,2024,HYBRID G,4,25.0,ハイブリッド,10800,4,110~160,3395×1475×1680
8,三菱,eKクロス,軽自動車,2WD,155,660,2024,G,4,21.2,ガソリン,10800,4,90~140,3395×1475×1640
9,レクサス,UX,SUV,4WD,620,2000,2024,UX250h,5,25.2,ハイブリッド,39500,5,400~580,4495×1840×1540
10,日産,キューブ,ハッチバック,2WD,185,1500,2023,15X,4,19.0,ガソリン,34500,5,80~140,3890×1695×1650
